symbol,companyName
AAR-UN,Pure Industrial Real Est
ABK-A,Allbanc Split Corp Class
ABT,Absolute Software Corp.
AC,Air Canada
ACO-X,Atco Ltd. Cl.I Nv
ACQ,Autocanada Inc
ACZ-UN,American Core Sectors Di
ADC-UN,Canadian Advantaged Conv
ADV,Alderon Iron Ore Corp
ADW-B,Andrew Peller Limited C
AEF-A,Acasta Enterprises Inc C
AEM,Agnico Eagle Mines Limit
AEZ,Aeterna Zentaris Inc.
AFN,Ag Growth International
AFN-DB-B,Ag Growth International
AGF-B,Agf Management Ltd. Cl.
AGI-WT,Alamos Gold Inc Warrants
AGT,Agt Food and Ingredients
AHY-UN,Advantaged CDN High Yiel
AI-DB,Atrium Mortgage Inv Corp
AI-DB-B,Atrium Mortgage Inv Corp
AIF-DB-A,Altus Group Ltd 6.75 Pct
AIM-PR-A,Aimia Inc Pref Series 1
AIM-PR-C,Aimia Inc Pref Series 3
AKG,Asanko Gold Inc
AKT-B,Akita Cl B
ALA-PR-A,Altagas Ltd. Pref A
ALA-PR-E,Altagas Ltd Pref Series
ALA-PR-I,Altagas Ltd Pref Series I
ALB,Allbanc Split Banc Corp
ALC,Algoma Central
ALS,Altius Minerals Corporat
AMM,Almaden Minerals Ltd.
AOG-UN,Aston Hill Adv Oil and G
AP-UN,Allied Properties Real E
APS,Aptose Biosciences Inc
AQN,Algonquin Power and Util
AQN-PR-A,Algonquin Power and Util
AQX-A,Alignvest Acquisition Co
AR,Argonaut Gold Inc.
ARE-DB-B,Aecon Group Inc 5.50 Pct
ARX,Arc Resources Ltd.
ASO,Avesoro Resources Inc.
ASR,Alacer Gold Corp
ATD-A,Alimentation Couche-Tard
ATH,Athabasca Oil Corp
ATP,Atlantic Power Corp.
ATP-DB-U,Atlantic Power Corp 5.75
AUG,Auryn Resources Inc
AUM,Golden Minerals Company
AV-UN,Aston Hill Adv Vip Incom
AVL,Avalon Rare Metals Inc.
AVP,Avcorp Industries Inc.
AX-DB-U,Artis REIT 5.75 Pct Debe
AX-PR-E,Artis REIT Pref Ser E
AX-PR-U,Artis REIT Pref Series C
